Ticker,Previous Close,Market Cap,Open,Beta(5Y Monthly,Bid,PE Ratio,Ask,EPS,Day's Range,Earnings Date,52 Week Range,Forward Dividend,Volume,Ex-Dividend Date,Avg Volume,1y Target Estimate
PLTR,Palantir Technologies Inc. ,24.14,24.12,24.57 x 3200,24.60 x 3200,24.03 - 24.71,8.90 - 45.00,"32,961,182",46.299B,N/A,N/A,N/A,"May 11, 2021",N/A (N/A),N/A
AMD,"Advanced Micro Devices, Inc. ",81.56,81.61,81.35 x 800,81.26 x 1200,80.70 - 82.33,48.42 - 99.23,"24,310,894",98.793B,2.03,34.14,2.38,"Jul 26, 2021 - Jul 30, 2021",N/A (N/A),"Apr 27, 1995"
FB,"Facebook, Inc. ",332.46,332.58,331.26 x 1000,331.38 x 1200,328.94 - 332.83,207.11 - 338.30,"13,587,916",939.275B,1.30,28.38,11.67,"Jul 28, 2021 - Aug 02, 2021",N/A (N/A),N/A
FVRR,Fiverr International Ltd. ,203.91,204.42,202.52 x 1200,207.40 x 1000,202.57 - 207.10,59.60 - 336.00,"303,907",7.362B,N/A,N/A,-2.29,"Aug 03, 2021 - Aug 09, 2021",N/A (N/A),N/A
SHOP,Shopify Inc. ,"1,231.10","1,238.24","1,247.02 x 1000","1,248.98 x 800","1,228.00 - 1,250.00","769.86 - 1,499.75","871,779",156.087B,1.43,97.51,12.79,"Jul 27, 2021 - Aug 02, 2021",N/A (N/A),N/A
BIDU,"Baidu, Inc. ",190.21,190.71,187.82 x 900,187.99 x 1000,186.69 - 190.47,113.06 - 354.82,"3,286,291",65.223B,1.03,8.62,21.77,"Aug 11, 2021 - Aug 16, 2021",N/A (N/A),N/A
ABNB,"Airbnb, Inc. ",146.12,145.87,148.25 x 1200,148.40 x 1100,145.20 - 148.94,121.50 - 219.94,"4,819,914",91.665B,N/A,N/A,N/A,"May 13, 2021",N/A (N/A),N/A
TSLA,"Tesla, Inc. ",610.12,610.23,610.50 x 900,609.90 x 1200,601.55 - 612.54,181.70 - 900.40,"16,205,303",587.525B,2.00,611.11,1.00,"Jul 20, 2021 - Jul 26, 2021",N/A (N/A),N/A
ETSY,"Etsy, Inc. ",167.15,167.77,165.82 x 800,166.30 x 900,164.66 - 168.24,79.06 - 251.86,"2,432,152",21.076B,1.55,47.09,3.52,"Aug 03, 2021 - Aug 09, 2021",N/A (N/A),N/A
AMZN,"Amazon.com, Inc. ","3,349.65","3,349.65","3,343.15 x 1000","3,345.00 x 900","3,333.45 - 3,366.58","2,508.00 - 3,554.00","2,817,352",1.688T,1.15,63.67,52.56,"Jul 28, 2021 - Aug 02, 2021",N/A (N/A),N/A
GOOGL,Alphabet Inc. ,"2,435.13","2,440.00","2,430.26 x 800","2,431.85 x 900","2,418.96 - 2,441.72","1,351.65 - 2,441.72","1,097,907",1.656T,1.02,32.39,75.04,"Jul 28, 2021 - Aug 02, 2021",N/A (N/A),N/A
MSFT,Microsoft Corporation ,257.24,257.98,257.77 x 800,257.70 x 1100,256.61 - 258.49,184.01 - 263.19,"18,999,731",1.942T,0.79,35.14,7.34,"Jul 20, 2021 - Jul 26, 2021",2.24 (0.87%),"May 19, 2021"
BABA,Alibaba Group Holding Limited ,213.07,213.45,211.62 x 1300,211.64 x 900,211.00 - 213.78,204.39 - 319.32,"12,276,590",573.745B,0.81,24.75,8.55,"Aug 18, 2021 - Aug 23, 2021",N/A (N/A),N/A
JPM,JPMorgan Chase & Co. ,160.40,160.43,160.28 x 800,160.30 x 900,159.06 - 161.18,90.78 - 167.44,"13,683,774",485.219B,1.19,12.71,12.61,"Jul 13, 2021",3.60 (2.25%),"Jul 02, 2021"
COIN,"Coinbase Global, Inc. ",221.85,223.50,223.00 x 1200,223.08 x 1100,222.00 - 225.74,208.00 - 429.54,"2,383,458",58.645B,N/A,N/A,N/A,"May 13, 2021",N/A (N/A),N/A
SQ,"Square, Inc. ",217.14,218.10,219.01 x 800,219.80 x 1300,218.00 - 222.79,84.06 - 283.19,"7,241,557",99.881B,2.42,306.77,0.71,"Aug 02, 2021 - Aug 06, 2021",N/A (N/A),N/A
PYPL,"PayPal Holdings, Inc. ",269.47,268.75,271.26 x 800,271.79 x 800,268.40 - 271.87,152.22 - 309.14,"4,494,584",318.88B,1.16,61.86,4.39,"Jul 27, 2021 - Aug 02, 2021",N/A (N/A),N/A
WFC,Wells Fargo & Company ,45.09,45.18,45.62 x 1400,45.73 x 3000,45.18 - 45.69,20.76 - 48.13,"18,964,253",188.821B,1.36,31.37,1.46,"Jul 14, 2021",0.40 (0.88%),"May 06, 2021"
BAC,Bank of America Corporation ,41.69,41.81,41.88 x 1800,41.87 x 1300,41.51 - 41.89,22.39 - 43.49,"30,643,326",358.712B,1.57,17.97,2.33,"Jul 14, 2021",0.72 (1.72%),"Jun 03, 2021"
LI,Li Auto Inc. ,27.00,27.23,28.11 x 1100,28.19 x 900,26.90 - 28.49,14.31 - 47.70,"18,424,517",25.43B,N/A,N/A,N/A,"May 26, 2021",N/A (N/A),N/A
GM,General Motors Company ,61.34,61.36,61.52 x 900,61.57 x 1000,61.16 - 62.01,23.33 - 64.30,"10,205,014",89.202B,1.36,9.93,6.20,"Aug 04, 2021",N/A (N/A),"Mar 05, 2020"
VWAGY,Volkswagen AG ,36.00,36.05,0.00 x 0,0.00 x 0,35.93 - 36.21,15.40 - 48.72,"250,050",180.101B,N/A,N/A,N/A,N/A,N/A (N/A),N/A
U,Unity Software Inc. ,100.81,99.99,99.50 x 800,100.95 x 1400,98.72 - 101.44,65.11 - 174.94,"4,120,224",27.788B,N/A,N/A,N/A,"May 11, 2021",N/A (N/A),N/A
TSM,Taiwan Semiconductor Manufacturing Company Limited ,118.24,118.29,118.16 x 1300,118.23 x 1000,117.16 - 118.42,54.52 - 142.20,"6,036,625",561.322B,1.01,31.28,3.78,N/A,1.79 (1.51%),"Jun 17, 2021"
INTC,Intel Corporation ,57.38,57.47,57.80 x 4000,57.85 x 1000,56.95 - 57.94,43.61 - 68.49,"18,119,736",233.598B,0.60,12.98,4.46,"Jul 21, 2021 - Jul 26, 2021",1.39 (2.40%),"May 06, 2021"
QCOM,QUALCOMM Incorporated ,134.22,133.80,134.70 x 1800,134.98 x 900,133.65 - 134.65,83.10 - 167.94,"6,529,894",151.851B,1.35,19.28,6.98,"Jul 27, 2021 - Aug 02, 2021",2.72 (1.98%),"Jun 02, 2021"
NVDA,NVIDIA Corporation ,697.00,699.18,713.00 x 1200,713.85 x 900,697.75 - 717.57,349.75 - 717.57,"10,292,890",458.778B,1.38,103.33,6.90,"Aug 17, 2021 - Aug 23, 2021",0.64 (0.11%),"Mar 09, 2021"
SWKS,"Skyworks Solutions, Inc. ",169.41,170.71,170.83 x 800,171.35 x 1000,169.52 - 171.19,122.83 - 204.00,"912,652",28.251B,1.11,23.69,7.22,"Jul 21, 2021 - Jul 26, 2021",2.00 (1.15%),"May 17, 2021"
AMC,"AMC Entertainment Holdings, Inc. ",42.81,44.68,49.74 x 1000,49.71 x 1800,42.01 - 49.60,1.91 - 72.62,"218,006,557",22.244B,1.27,N/A,-39.15,"Aug 04, 2021 - Aug 09, 2021",N/A (N/A),"Mar 06, 2020"
BB,BlackBerry Limited ,13.89,14.12,14.19 x 1800,14.20 x 3100,13.57 - 14.33,4.37 - 28.77,"55,670,969",8.061B,0.92,N/A,-1.97,"Jun 22, 2021 - Jun 28, 2021",N/A (N/A),N/A
GME,GameStop Corp. ,220.39,222.35,237.00 x 800,237.66 x 800,206.13 - 241.13,3.77 - 483.00,"15,289,370",16.514B,-1.82,N/A,-3.31,"Jun 23, 2021 - Jun 30, 2021",N/A (N/A),"Mar 14, 2019"
